Measurement
;cikel16 BCTZ_Nitrogen-Keysight -Stable-4s SLEEP +2WR delay ONE for Luka
Graph
;For easy export

Series
;Delta T   [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Delta T   [°C] Y-expression: (TCS($N7.MV.TT2($N6.M2)))-(TCS($N8.MV.TT2($N6.M2)))
;Assigned to Axis: delta Temp  [°C]

;Thermovoltage forw [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage forw [V] Y-expression: $N9.DF1
;Assigned to Axis: Thermo voltage [V]

;Seebeck (back thermo)  [V/K] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Seebeck (back thermo)  [V/K] Y-expression: $N10.DF1/(TCS($N7.MV. TT2($N6.M2))-TCS($N8.MV. TT2($N6.M2)))
;Assigned to Axis: Seebeck [V/K]

;Thermovoltage back [V] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Thermovoltage back [V] Y-expression: $N10.DF1
;Assigned to Axis: Thermo voltage [V]

;AVG T  [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;AVG T  [°C] Y-expression: (TCS($N8.MV.TT2($N6.M2))+TCS($N7.MV.TT2($N6.M2)))/2
;Assigned to Axis: Temp [°C]

;Flow [ml/min] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Flow [ml/min] Y-expression: $N11.FL
;Assigned to Axis: Flow [ml/min]

;TCC (B) [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;TCC (B) [°C] Y-expression: TCS($N8.MV.TT2($N6.M2))
;Assigned to Axis: Temp [°C]

;TCT [°C] X-expression: $N11.TM
;Assigned to Axis: time [min]
;TCT [°C] Y-expression: TCS($N7.MV.TT2($N6.M2))
;Assigned to Axis: Temp [°C]

;2pt_fwd_resistance  [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;2pt_fwd_resistance  [Ohm] Y-expression: $N1.M2
;Assigned to Axis: 2 point R [Ohm]

;2pt_rev_resistance  [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;2pt_rev_resistance  [Ohm] Y-expression: $N2.M2
;Assigned to Axis: 2 point R [Ohm]

;2 point R avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;2 point R avg [Ohm] Y-expression: ($N1.M2+$N2.M2)/2
;Assigned to Axis: 2 point R [Ohm]

Data
;Index;X data for Delta T   [°C];Y data for Delta T   [°C];X data for Thermovoltage forw [V];Y data for Thermovoltage forw [V];X data for Seebeck (back thermo)  [V/K];Y data for Seebeck (back thermo)  [V/K];X data for Thermovoltage back [V];Y data for Thermovoltage back [V];X data for AVG T  [°C];Y data for AVG T  [°C];X data for Flow [ml/min];Y data for Flow [ml/min];X data for TCC (B) [°C];Y data for TCC (B) [°C];X data for TCT [°C];Y data for TCT [°C];X data for 2pt_fwd_resistance  [Ohm];Y data for 2pt_fwd_resistance  [Ohm];X data for 2pt_rev_resistance  [Ohm];Y data for 2pt_rev_resistance  [Ohm];X data for 2 point R avg [Ohm];Y data for 2 point R avg [Ohm];
;0;660.092716666404;0.108205688639771;660.092716666404;-0.0001883847;660.092716666404;-0.00126901461213501;660.092716666404;-0.0001373146;660.092716655927;23.0431518996075;0;199.375900268555;660.092716655927;22.9890490552876;660.092716655927;23.0972547439274;1254.61325002369;118473500;1248.90581664629;117895300;1254.61325002369;103102695;
;1;661.043900004588;0.0884673885979836;661.043900004588;0.0005546192;661.043900004588;0.00322443902234164;661.043900004588;0.0002852577;661.043900025543;23.0666426357543;0.109233224065974;199.286285400391;661.043900025543;23.0224089414553;661.043900025543;23.1108763300532;1255.56324998382;112942500;1249.85703327111;112103900;1255.56324998382;98235855;
;2;661.993866667617;0.0781971349186676;661.993866667617;-0.0001091276;661.993866667617;0.00628419699150242;661.993866667617;0.0004914062;661.993866583798;23.022985975885;0.168116544373333;199.351608276367;661.993866583798;22.9838874084256;661.993866583798;23.0620845433443;1256.51610000059;107368100;1250.80686663045;106863200;1256.51610000059;93450975;
;3;662.943483333802;0.0935780217822106;662.943483333802;0.0005491722;662.943483333802;0.00275182564341142;662.943483333802;0.0002575104;662.943483218551;23.0202247600165;0.226216659648344;199.370742797852;662.943483218551;22.9734357491254;662.943483218551;23.0670137709076;1257.46618335019;101481600;1251.75649997662;101729800;1257.46618335019;88600670;
;4;663.893033332424;0.0833059795825157;663.893033332424;0.0002649668;663.893033332424;-0.000369562907180093;663.893033332424;-3.07868E-5;663.893033332424;23.006816438108;0.28429992729798;199.338073730469;663.893033332424;22.9651634483168;663.893033332424;23.0484694278993;1258.41928334674;97075740;1252.70824997337;96831550;1258.41928334674;84570155;
;5;664.845250002109;0.15103857538082;664.845250002109;-1.972401E-5;664.845250002109;-0.000529426603755919;664.845250002109;-7.996384E-5;664.845249897335;23.0150190123864;0.343183247605339;199.32373046875;664.845249897335;22.939499724696;664.845249897335;23.0905383000768;1259.37096667592;91595350;1253.65806663176;92166730;1259.37096667592;80100245;
;6;665.795899999794;0.0868652013583287;665.795899999794;0.0003102419;665.795899999794;0.000217666795268266;665.795899999794;1.890767E-5;665.795899874065;23.0282270980858;0.400999970734119;199.282028198242;665.795899874065;22.9847944974067;665.795899874065;23.071659698765;1260.32056660973;87705140;1254.61325002369;87731890;1260.32056660973;76515355;
;7;666.747750003124;0.0668895621672867;666.747750003124;-2.165064E-5;666.747750003124;0.00287633965249805;666.747750003124;0.0001923971;666.747749961214;23.0362067675318;0.459116640267894;199.271713256836;666.747749961214;23.0027619864482;666.747749961214;23.0696515486155;1261.27228335128;83107600;1255.56324998382;83529210;1261.27228335128;72683665;
;8;667.69764999859;0.0394072705354454;667.69764999859;0.0002993592;667.69764999859;-0.00613077730878855;667.69764999859;-0.0002415972;667.697649988113;22.9810869870466;0.515866609057412;199.285568237305;667.697649988113;22.9613833517788;667.697649988113;23.0007906223143;1262.22161659389;78616420;1256.51610000059;79533850;1262.22161659389;68934985;
;9;668.648783338722;0.0392998409843663;668.648783338722;0.0001283456;668.648783338722;0.00228706497911163;668.648783338722;8.988129E-5;668.648783233948;23.0018805860431;0.572349897120148;199.332931518555;668.648783233948;22.9822306655509;668.648783233948;23.0215305065353;1263.17381659406;74751000;1257.46618335019;75719740;1263.17381659406;65586430;
;10;669.598950004438;0.154691332722695;669.598950004438;5.642773E-5;669.598950004438;0.00261225818465467;669.598950004438;0.0004040937;669.598949952051;22.9909921794273;0.630666579818353;199.287399291992;669.598949952051;22.913646513066;669.598949952051;23.0683378457887;1264.12339997361;71304640;1258.41928334674;72064570;1264.12339997361;62566715;
;11;670.549133339664;0.0360885811611062;670.549133339664;6.637669E-5;670.549133339664;0.00229049653215755;670.549133339664;8.266077E-5;670.54913323489;23.0265813090499;0.688999973936006;199.241027832031;670.54913323489;23.0085370184694;670.54913323489;23.0446255996305;1265.07543321582;67581590;1259.37096667592;68605140;1265.07543321582;59397215;
;12;671.501416666433;0.112672797599515;671.501416666433;0.0003722311;671.501416666433;-0.00354749068555763;671.501416666433;-0.0003997057;671.501416614046;22.9897806855855;0.747616613516584;199.248107910156;671.501416614046;22.9334442867857;671.501416614046;23.0461170843852;1266.02604993735;64580250;1260.32056660973;65325570;1266.02604993735;56689305;
;13;672.451533334097;0.0427915183579657;672.451533334097;0.0003261266;672.451533334097;0.00287298522505254;672.451533334097;0.0001229394;672.451533218846;23.0005604550614;0.805399924283847;199.244445800781;672.451533218846;22.9791646958824;672.451533218846;23.0219562142404;1266.97774996748;61478910;1261.27228335128;62259730;1266.97774996748;53987285;
;14;673.399183333386;0.0684789406352522;673.399183333386;0.0001994688;673.399183333386;0.0184584777199269;673.399183333386;0.001264017;673.399183249567;23.0143111656604;0.863999999128282;199.281555175781;673.399183249567;22.9800716953427;673.399183249567;23.048550635978;1267.9276165925;58195090;1262.22161659389;59253550;1267.9276165925;51249600;
;15;674.349550001789;0.124776959272111;674.349550001789;0.0001214535;674.349550001789;-0.000151164206196647;674.349550001789;-1.886181E-5;674.349549991311;23.0079170862052;0.922083266777918;199.200454711914;674.349549991311;22.9455286065692;674.349549991311;23.0703055658413;1268.87753333081;55287830;1263.17381659406;56421860;1268.87753333081;48744335;
;16;675.299183337484;0.120148635828727;675.299183337484;0.0005549346;675.299183337484;0.000992714558740603;675.299183337484;0.0001192733;675.299183337484;22.9911263426731;0.980966597562656;199.2373046875;675.299183337484;22.9310520247588;675.299183337484;23.0512006605875;1269.83271657606;52840410;1264.12339997361;53828790;1269.83271657606;46520290;
;17;676.250633335439;0.147592601163037;676.250633335439;-0.0002859267;676.250633335439;0.00152870332402886;676.250633335439;0.0002256253;676.250633241143;22.9891224923308;1.03903330047615;199.259826660156;676.250633241143;22.9153261917493;676.250633241143;23.0629187929124;1270.78258334775;50209370;1265.07543321582;51212840;1270.78258334775;44258410;
;18;677.200250001624;0.135910258063561;677.200250001624;0.0001876197;677.200250001624;0.00259283519155116;677.200250001624;0.0003523929;677.200249875896;22.9890373846209;1.09764994005673;199.224502563477;677.200249875896;22.9210822555891;677.200249875896;23.0569925136527;1271.73058330198;47592510;1266.02604993735;48798360;1271.73058330198;42039905;
;19;678.150383338798;0.0478049846548352;678.150383338798;-0.000199116;678.150383338798;0.00657289197494218;678.150383338798;0.000314217;678.150383328321;22.9931903306761;1.15441660978831;199.224395751953;678.150383328321;22.9692878383487;678.150383328321;23.0170928230035;1272.68183332868;45333420;1266.97774996748;46495660;1272.68183332868;40050220;
;20;679.099666667171;0.0458010104218616;679.099666667171;-0.0001118932;679.099666667171;-0.000864419139126731;679.099666667171;-3.959127E-5;679.099666614784;23.0011368819782;1.21221663197502;199.172592163086;679.099666614784;22.9782363767672;679.099666614784;23.0240373871891;1273.63148323959;43185210;1267.9276165925;44304110;1273.63148323959;38158235;
;21;680.049266674323;-0.000745703180822233;680.049266674323;0.0001339295;680.049266674323;0.434542064904035;680.049266674323;-0.0003240394;680.049266695278;23.0043615752;1.27029988914728;199.181228637695;680.049266695278;23.0047344267904;680.049266695278;23.0039887236096;1274.58291657851;41057880;1268.87753333081;42200840;1274.58291657851;36317465;
;22;681.000799998874;0.0939431209452302;681.000799998874;0.0003283258;681.000799998874;0.00488885823015995;681.000799998874;0.0004592746;681.000799967442;23.026786897038;1.32678331341594;199.201293945313;681.000799967442;22.9798153365654;681.000799967442;23.0737584575107;1275.53271667217;39066690;1269.83271657606;40200170;1275.53271667217;34590740;
;23;681.950650006765;0.0101288881218551;681.950650006765;0.0006411634;681.950650006765;0.00837797288104098;681.950650006765;8.485955E-5;681.950649891514;23.0015816052907;1.38353328220546;199.172958374023;681.950649891514;22.9965171612298;681.950649891514;23.0066460493516;1276.48226663936;37039580;1270.78258334775;38307450;1276.48226663936;32879705;
;24;682.900300001493;-0.0152353338244424;682.900300001493;0.0001283868;682.900300001493;-0.00318747265794009;682.900300001493;4.856221E-5;682.900299938628;23.0081897286452;1.44000000553206;199.149383544922;682.900299938628;23.0158073955574;682.900299938628;23.000572061733;1277.4327166134;35390410;1271.73058330198;36487300;1277.4327166134;31390335;
;25;683.850183337927;0.00392190584539165;683.850183337927;0.0003022129;683.850183337927;0.0657620070872059;683.850183337927;0.0002579124;683.850183264585;23.0257154317322;1.49861664511263;199.151062011719;683.850183264585;23.0237544788095;683.850183264585;23.0276763846548;1278.38184998953;33592870;1272.68183332868;34767020;1278.38184998953;29861265;
;26;684.800300005591;0.0325255502318385;684.800300005591;-5.697256E-5;684.800300005591;0.00799969864138692;684.800300005591;0.0002601946;684.800300016068;23.0048239622939;1.5569833049085;199.161697387695;684.800300016068;22.988561187178;684.800300016068;23.0210867374098;1279.33176658116;32106520;1273.63148323959;33131260;1279.33176658116;28518930;
;27;685.751533341827;0.0324165044208584;685.751533341827;0.0002842747;685.751533341827;0.00331075178886169;685.751533341827;0.000107323;685.751533352304;23.0422662171975;1.61481658229604;199.112869262695;685.751533352304;23.0260579649871;685.751533352304;23.0584744694079;1280.28369989013;30444090;1274.58291657851;31577050;1280.28369989013;27115750;
;28;686.701416667784;0.110978052188866;686.701416667784;0.0003807387;686.701416667784;-0.000272602639921222;686.701416667784;-3.025291E-5;686.701416678261;23.0098869224097;1.67130000656471;199.16960144043;686.701416678261;22.9543978963153;686.701416678261;23.0653759485042;1281.23280000058;29095190;1275.53271667217;30114790;1281.23280000058;25898435;
;29;687.650783333229;0.0546580378308548;687.650783333229;0.0002692663;687.650783333229;0.00286412220805388;687.650783333229;0.0001565473;687.650783333229;23.0172683591994;1.72804997535422;199.100128173828;687.650783333229;22.989939340284;687.650783333229;23.0445973781148;1282.18268333701;27634150;1276.48226663936;28719830;1282.18268333701;24650480;
;30;688.602516670944;0.0616216627545647;688.602516670944;7.711525E-5;688.602516670944;0.00566507920096883;688.602516670944;0.0003490916;688.602516629035;23.0124642118612;1.78638322278857;199.139144897461;688.602516629035;22.9816533804839;688.602516629035;23.0432750432385;1283.13630000455;26319080;1277.4327166134;27390260;1283.13630000455;23499435;
;31;689.552150006639;-0.00575595738224166;689.552150006639;7.385772E-5;689.552150006639;0.0546662143418193;689.552150006639;-0.0003146564;689.552149975207;23.0280465105948;1.8447333178483;199.174346923828;689.552149975207;23.0309244892859;689.552149975207;23.0251685319036;1284.08593335073;25121760;1278.38184998953;26129660;1284.08593335073;22430885;
;32;690.501849999418;0.0113965769786972;690.501849999418;0.0001208655;690.501849999418;-0.0146995365637543;690.501849999418;-0.0001675244;690.501849988941;23.0201031081585;1.90306656528264;199.15087890625;690.501849988941;23.0144048196691;690.501849988941;23.0258013966478;1285.03741665627;23890420;1279.33176658116;24931340;1285.03741665627;21373345;
;33;691.45170000731;0.101215401627897;691.45170000731;-5.417691E-5;691.45170000731;-0.0095800706651817;691.45170000731;-0.0009696507;691.451699913014;23.0097198002524;1.96141666034237;199.099258422852;691.451699913014;22.9591120994385;691.451699913014;23.0603275010664;1285.98751656013;22824980;1280.28369989013;23787410;1285.98751656013;20416150;
;34;692.418866670923;0.0560112819966001;692.418866670923;0.0003088684;692.418866670923;0.00169696312263964;692.418866670923;9.504908E-5;692.418866691878;23.0207993657849;2.02005000086501;199.096405029297;692.418866691878;22.9927937247866;692.418866691878;23.0488050067832;1286.93684995989;21735770;1281.23280000058;22701680;1286.93684995989;19464910;
;35;693.368483337108;0.0552379416007121;693.368483337108;-1.103402E-5;693.368483337108;-0.0055927047794992;693.368483337108;-0.0003089295;693.368483337108;23.0064342867518;2.07810000283644;199.132064819336;693.368483337108;22.9788153159515;693.368483337108;23.0340532575522;1287.88861665758;20708150;1282.18268333701;21666810;1287.88861665758;18563020;
;36;694.318150001345;0.0699821808734029;694.318150001345;6.28949E-5;694.318150001345;0.00291978182802899;694.318150001345;0.0002043327;694.318149938481;23.038680865899;2.13671664241701;199.070404052734;694.318149938481;23.0036897754623;694.318149938481;23.0736719563357;1288.84034995339;19733470;1283.13630000455;20679790;1288.84034995339;17707740;
