Measurement
;BCTZ_16cikel za lukata loceno
Graph
;2 point resistances

Series
;2pt_fwd_resistance [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;2pt_fwd_resistance [Ohm] Y-expression: $N1.M2
;Assigned to Axis: Resistance [Ohm]

;2pt_rev_resistance [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;2pt_rev_resistance [Ohm] Y-expression: $N2.M2
;Assigned to Axis: Resistance [Ohm]

;DMM avg R [Ohm] X-expression: $N11.TM
;Assigned to Axis: Time [min]
;DMM avg R [Ohm] Y-expression: ($N1.M2+$N2.M2)/2
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 2pt_fwd_resistance [Ohm];Y data for 2pt_fwd_resistance [Ohm];X data for 2pt_rev_resistance [Ohm];Y data for 2pt_rev_resistance [Ohm];X data for DMM avg R [Ohm];Y data for DMM avg R [Ohm];
;0;1254.61325000273;118473500;1248.90581666725;117895300;1254.61325002369;103102695;
;1;1255.56325000478;112942500;1249.85703333397;112103900;1255.56324998382;98235855;
;2;1256.51610000059;107368100;1250.80686667236;106863200;1256.51610000059;93450975;
;3;1257.46618333971;101481600;1251.75650000805;101729800;1257.46618335019;88600670;
;4;1258.41928333626;97075740;1252.7082500048;96831550;1258.41928334674;84570155;
;5;1259.37096666545;91595350;1253.65806667367;92166730;1259.37096667592;80100245;
;6;1260.3205666726;87705140;1254.61325000273;87731890;1260.32056660973;76515355;
;7;1261.2722833408;83107600;1255.56325000478;83529210;1261.27228335128;72683665;
;8;1262.22161666723;78616420;1256.51610000059;79533850;1262.22161659389;68934985;
;9;1263.1738166674;74751000;1257.46618333971;75719740;1263.17381659406;65586430;
;10;1264.12340000505;71304640;1258.41928333626;72064570;1264.12339997361;62566715;
;11;1265.07543334155;67581590;1259.37096666545;68605140;1265.07543321582;59397215;
;12;1266.02605000022;64580250;1260.3205666726;65325570;1266.02604993735;56689305;
;13;1266.97774999891;61478910;1261.2722833408;62259730;1266.97774996748;53987285;
;14;1267.92761666584;58195090;1262.22161666723;59253550;1267.9276165925;51249600;
;15;1268.87753334129;55287830;1263.1738166674;56421860;1268.87753333081;48744335;
;16;1269.83271667035;52840410;1264.12340000505;53828790;1269.83271657606;46520290;
;17;1270.78258333728;50209370;1265.07543334155;51212840;1270.78258334775;44258410;
;18;1271.73058333341;47592510;1266.02605000022;48798360;1271.73058330198;42039905;
;19;1272.68183333916;45333420;1266.97774999891;46495660;1272.68183332868;40050220;
;20;1273.63148333388;43185210;1267.92761666584;44304110;1273.63148323959;38158235;
;21;1274.58291667281;41057880;1268.87753334129;42200840;1274.58291657851;36317465;
;22;1275.53271667217;39066690;1269.83271667035;40200170;1275.53271667217;34590740;
;23;1276.48226667079;37039580;1270.78258333728;38307450;1276.48226663936;32879705;
;24;1277.43271666579;35390410;1271.73058333341;36487300;1277.4327166134;31390335;
;25;1278.38185000001;33592870;1272.68183333916;34767020;1278.38184998953;29861265;
;26;1279.33176666498;32106520;1273.63148333388;33131260;1279.33176658116;28518930;
;27;1280.28370000538;30444090;1274.58291667281;31577050;1280.28369989013;27115750;
;28;1281.23280000058;29095190;1275.53271667217;30114790;1281.23280000058;25898435;
;29;1282.18268333701;27634150;1276.48226667079;28719830;1282.18268333701;24650480;
;30;1283.13630000455;26319080;1277.43271666579;27390260;1283.13630000455;23499435;
;31;1284.08593334025;25121760;1278.38185000001;26129660;1284.08593335073;22430885;
;32;1285.03741666675;23890420;1279.33176666498;24931340;1285.03741665627;21373345;
;33;1285.9875166649;22824980;1280.28370000538;23787410;1285.98751656013;20416150;
;34;1286.9368500018;21735770;1281.23280000058;22701680;1286.93684995989;19464910;
;35;1287.88861666806;20708150;1282.18268333701;21666810;1287.88861665758;18563020;
;36;1288.84035000578;19733470;1283.13630000455;20679790;1288.84034995339;17707740;
;37;1289.79193333886;18806470;1284.08593334025;19740010;1289.79193334933;16891895;
;38;1290.74316667509;17897190;1285.03741666675;18856270;1290.74316667509;16101555;
;39;1291.69455000549;17069270;1285.9875166649;18007320;1291.69454991119;15367970;
;40;1292.64496667194;16266640;1286.9368500018;17194050;1292.64496660908;14662890;
;41;1293.59433333739;15515920;1287.88861666806;16417890;1293.59433326405;13997435;
;42;1294.54413333675;14771070;1288.84035000578;15682010;1294.5441332215;13348690;
;43;1295.49380000099;14098370;1289.79193333886;14977320;1295.49379996955;12750000;
;44;1296.44345000619;13443440;1290.74316667509;14305920;1296.44345001667;12173555;
;45;1297.39333333215;12834960;1291.69455000549;13666670;1297.3933333531;11631430;
;46;1298.34353333688;12225070;1292.64496667194;13059140;1298.34353333688;11099737.5;
;47;1299.29551666486;11670550;1293.59433333739;12478950;1299.29551661247;10605430;
;48;1300.24565000203;11142990;1294.54413333675;11926310;1300.24564992869;10135380;
;49;1301.19603333995;11786030;1295.49380000099;11401630;1301.1960332247;10260122.5;
;50;1302.14561666711;11257740;1296.44345000619;10903670;1302.14561659377;9810064;
;51;1303.09525000281;10731890;1297.39333333215;10427900;1303.09524993994;9368397.5;
;52;1304.04541666852;10219980;1298.34353333688;9974405;1304.04541665805;8940262.5;
;53;1304.99880000483;9780243;1299.29551666486;9540310;1304.99879991054;8555561;
;54;1305.95010000863;9326589;1300.24565000203;9127770;1305.95009990386;8171831.5;
;55;1306.89801666769;8884670;1301.19603333995;8734215;1306.89801662578;7802535;
;56;1307.85138333449;8481048;1302.14561666711;8362388;1307.85138331354;7457888.5;
;57;1308.80465000519;8109768;1303.09525000281;8004905;1308.80464992137;7136660;
;58;1309.75451667211;7745784;1304.04541666852;7660545;1309.75451654638;6824912;
;59;1310.70441666758;7379656;1304.99880000483;7330879;1310.70441658376;6518428;
;60;1311.65398333571;7063764;1305.95010000863;7017074;1311.65398325189;6242558.5;
;61;1312.60543333367;6745349;1306.89801666769;6720400;1312.60543330223;5971164.5;
;62;1313.55881666997;6444563;1307.85138333449;6434729;1313.55881669093;5713681.5;
;63;1314.50851667323;6152791;1308.80465000519;6163552;1314.50851656846;5466165.5;
;64;1315.45890000067;5887786;1309.75451667211;5904040;1315.45890000067;5236250;
;65;1316.41015000641;5632787;1310.70441666758;5657200;1316.41014989116;5016536;
;66;1317.36023333506;5383172;1311.65398333571;5421353;1317.36023324076;4802973.5;
;67;1318.3111666725;5154515;1312.60543333367;5196980;1318.31116660964;4603865.5;
;68;1319.26123333164;4928125;1313.55881666997;4982800;1319.26123324782;4409346;
;69;1320.21065000561;4714644;1314.50851667323;4779540;1320.21065001609;4225188;
;70;1321.16055000108;4512498;1315.45890000067;4584714;1321.16054990678;4049562.5;
;71;1322.11064999923;4321420;1316.41015000641;4400285;1322.11064995732;3882724.5;
;72;1323.06375000626;4136511;1317.36023333506;4222775;1323.06374995387;3721567.5;
;73;1324.01526667178;3959547;1318.3111666725;4053216;1324.01526667178;3567498;
;74;1324.96518333675;3791366;1319.26123333164;3890567;1324.96518326341;3420344;
;75;1325.91480000294;3634638;1320.21065000561;3735732;1325.91479990864;3281919;
;76;1326.86421666644;3480533;1321.16055000108;3586627;1326.86421667691;3147294;
;77;1327.81440000166;3332546;1322.11064999923;3444029;1327.81439995975;3016829.5;
;78;1328.76586666913;3195886;1323.06375000626;3306624;1328.76586656435;2896075.5;
;79;1329.71718333196;3062124;1324.01526667178;3175449;1329.71718326909;2778501;
;80;1330.66701667034;2936999;1324.96518333675;3049322;1330.66701662843;2667449;
;81;1331.61853333586;2815736;1325.91480000294;2929200;1331.61853334634;2560285;
;82;1332.56816667155;2700321;1326.86421666644;2814055;1332.56816654583;2457980;
;83;1333.51656667306;2591069;1327.81440000166;2701113;1333.51656667306;2360607;
;84;1334.46751666954;2486760;1328.76586666913;2596265;1334.46751661715;2267556;
