Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;2 point R [Ohm)

Series
;2wR_fwd [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;2wR_fwd [Ohm] Y-expression: $N1.M2
;Assigned to Axis: Resistance [Ohm]

;2wR_rev [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;2wR_rev [Ohm] Y-expression: $N2.M2
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 2wR_fwd [Ohm];Y data for 2wR_fwd [Ohm];X data for 2wR_rev [Ohm];Y data for 2wR_rev [Ohm];
;0;0;2247681;0;2240465;
;1;1.20748332934454;2247080;1.20748332934454;2239462;
;2;2.47121666790918;2245283;2.47121666790918;2238557;
;3;3.6818833288271;2244550;3.6818833288271;2237858;
;4;4.89259999827482;2243539;4.89259999827482;2236414;
;5;6.10626666806638;2240733;6.10626666806638;2233722;
;6;7.32259999844246;2235941;7.32259999844246;2227999;
;7;8.52688333718106;2226835;8.52688333718106;2218971;
;8;9.74163333652541;2213754;9.74163333652541;2205287;
;9;10.9533499984536;2194966;10.9533499984536;2185980;
;10;12.1645999979228;2169878;12.1645999979228;2160990;
;11;13.3806499990169;2138074;13.3806499990169;2128683;
;12;14.5937333302572;2099092;14.5937333302572;2089423;
;13;15.8049999992363;2053537;15.8049999992363;2043066;
;14;17.017949995352;2000354;17.017949995352;1990114;
;15;18.2208499952685;1941574;18.2208499952685;1930692;
;16;19.4295666692778;1876554;19.4295666692778;1866137;
;17;20.6417666631751;1806796;20.6417666631751;1796069;
;18;21.8439333303832;1732151;21.8439333303832;1721523;
;19;23.0566666647792;1654079;23.0566666647792;1644090;
;20;24.2649166658521;1573215;24.2649166658521;1563330;
;21;25.4737166664563;1490364;25.4737166664563;1481002;
;22;26.6806833352894;1407206;26.6806833352894;1397912;
;23;27.8867999953218;1323222;27.8867999953218;1314889;
;24;29.0924333338626;1240339;29.0924333338626;1232954;
;25;30.2950833330397;1157576;30.2950833330397;1151166;
;26;31.4937000023201;1078912;31.4937000023201;1073048;
;27;32.6955833297689;1003014;32.6955833297689;996788.6;
;28;33.9011500007473;929891.9;33.9011500007473;923878.9;
;29;35.1043000014033;859629.6;35.1043000014033;853996.8;
;30;36.3085500011221;793190.3;36.3085500011221;787940.4;
;31;37.505033329362;730489;37.505033329362;725623.5;
;32;38.7089833302889;671888.8;38.7089833302889;667460.3;
;33;39.9121500004549;616783.6;39.9121500004549;612747.6;
;34;41.1169666692149;565371.8;41.1169666692149;561727.6;
;35;42.3228666675277;517716;42.3228666675277;514418.5;
;36;43.5289499990176;473404.4;43.5289499990176;470447;
;37;44.7318499989342;432549;44.7318499989342;429890.7;
;38;45.9328499995172;394952;45.9328499995172;392604.1;
;39;47.1365000016522;360316.3;47.1365000016522;358241.5;
;40;48.3258166664746;328502.8;48.3258166664746;326905.2;
;41;49.5245166623499;299647.5;49.5245166623499;298077;
;42;50.7272833376192;273084.5;50.7272833376192;271751.5;
;43;51.9339499971829;248726.9;51.9339499971829;247621.9;
;44;53.1357833370566;226518;53.1357833370566;225618.6;
;45;54.3393333326094;206418.9;54.3393333326094;205708.4;
;46;55.5361166701186;188132.7;55.5361166701186;187606.4;
;47;56.7310833348893;171672.4;56.7310833348893;171419;
;48;57.9358333360869;156718.5;57.9358333360869;156508.7;
;49;59.1389333282132;143022;59.1389333282132;142954.8;
;50;60.3386333375238;130549.4;60.3386333375238;130673.3;
;51;61.5423999947961;119354.4;61.5423999947961;119545.6;
;52;62.7413333323784;109081.7;62.7413333323784;109388.7;
;53;63.9450000040233;99790.97;63.9450000040233;100210.7;
;54;65.1485333300661;91301.15;65.1485333300661;91819.72;
;55;66.352200001711;83588.58;66.352200001711;84200.49;
